Name n time comparisons vec_access
binarytree 196       0.000187 1516 392
binarytree 197       0.000188 1514 394
binarytree 198       0.000188 1537 396
binarytree 199       0.000191 1549 398
binarytree 200       0.000190 1560 400
binarytree 201       0.000191 1575 402
binarytree 202       0.000191 1589 404
binarytree 203       0.000193 1585 406
binarytree 204       0.000195 1602 408
binarytree 205       0.000195 1624 410
binarytree 206       0.000195 1636 412
binarytree 207       0.000199 1654 414
binarytree 208       0.000198 1639 416
binarytree 209       0.000198 1641 418
binarytree 210       0.000198 1673 420
binarytree 211       0.000200 1653 422
binarytree 212       0.000199 1673 424
binarytree 213       0.000203 1702 426
binarytree 214       0.000203 1704 428
binarytree 215       0.000203 1698 430
binarytree 216       0.000204 1726 432
binarytree 217       0.000206 1741 434
binarytree 218       0.000209 1755 436
binarytree 219       0.000207 1743 438
binarytree 220       0.000207 1760 440
binarytree 221       0.000211 1764 442
binarytree 222       0.000209 1785 444
binarytree 223       0.000212 1800 446
binarytree 224       0.000211 1797 448
binarytree 225       0.000210 1791 450
binarytree 226       0.000213 1793 452
binarytree 227       0.000214 1830 454
binarytree 228       0.000216 1854 456
binarytree 229       0.000217 1870 458
binarytree 230       0.000219 1859 460
binarytree 231       0.000220 1854 462
binarytree 232       0.000217 1839 464
binarytree 233       0.000219 1912 466
binarytree 234       0.000223 1886 468
binarytree 235       0.000222 1918 470
binarytree 236       0.000225 1936 472
binarytree 237       0.000223 1913 474
binarytree 238       0.000220 1927 476
binarytree 239       0.000227 1986 478
binarytree 240       0.000228 1978 480
binarytree 241       0.000227 1953 482
binarytree 242       0.000228 1989 484
binarytree 243       0.000228 1991 486
binarytree 244       0.000231 1995 488
binarytree 245       0.000230 2017 490
binarytree 246       0.000230 2002 492
binarytree 247       0.000231 2041 494
binarytree 248       0.000234 2054 496
binarytree 249       0.000235 2062 498
binarytree 250       0.000237 2059 500
binarytree 251       0.000240 2099 502
binarytree 252       0.000239 2106 504
binarytree 253       0.000238 2072 506
binarytree 254       0.000241 2116 508
binarytree 255       0.000245 2147 510
binarytree 256       0.000239 2095 512
binarytree 257       0.000239 2142 514
binarytree 258       0.000244 2169 516
binarytree 259       0.000243 2159 518
binarytree 260       0.000247 2171 520
binarytree 261       0.000241 2148 522
binarytree 262       0.000246 2196 524
binarytree 263       0.000247 2189 526
binarytree 264       0.000244 2190 528
binarytree 265       0.000249 2211 530
binarytree 266       0.000251 2219 532
binarytree 267       0.000249 2252 534
binarytree 268       0.000251 2233 536
binarytree 269       0.000248 2242 538
binarytree 270       0.000253 2237 540
binarytree 271       0.000253 2273 542
binarytree 272       0.000254 2286 544
binarytree 273       0.000256 2291 546
binarytree 274       0.000255 2303 548
binarytree 275       0.000258 2318 550
binarytree 276       0.000259 2312 552
binarytree 277       0.000260 2360 554
binarytree 278       0.000263 2358 556
binarytree 279       0.000260 2363 558
binarytree 280       0.000261 2357 560
binarytree 281       0.000264 2392 562
binarytree 282       0.000263 2393 564
binarytree 283       0.000265 2408 566
binarytree 284       0.000269 2415 568
binarytree 285       0.000267 2443 570
binarytree 286       0.000271 2469 572
binarytree 287       0.000268 2464 574
binarytree 288       0.000272 2495 576
binarytree 289       0.000270 2432 578
binarytree 290       0.000272 2493 580
binarytree 291       0.000272 2509 582
binarytree 292       0.000274 2463 584
binarytree 293       0.000272 2491 586
binarytree 294       0.000276 2530 588
binarytree 295       0.000279 2551 590
binarytree 296       0.000281 2572 592
binarytree 297       0.000279 2530 594
binarytree 298       0.000282 2525 596
binarytree 299       0.000279 2555 598
binarytree 300       0.000282 2589 600
binarytree 301       0.000283 2612 602
binarytree 302       0.000282 2575 604
binarytree 303       0.000284 2623 606
binarytree 304       0.000282 2610 608
binarytree 305       0.000287 2624 610
binarytree 306       0.000284 2615 612
binarytree 307       0.000289 2659 614
binarytree 308       0.000286 2654 616
binarytree 309       0.000289 2638 618
binarytree 310       0.000294 2734 620
binarytree 311       0.000292 2742 622
binarytree 312       0.000292 2724 624
binarytree 313       0.000292 2705 626
